word,mean_ALL,sd_ALL,n_ALL,mean_M,sd_M,n_M,mean_F,sd_F,n_F
abbey,2.292682927,1.145510856,41,2.176470588,1.380004263,17,2.347826087,0.98205238,23
abode,2.413793103,1.118584609,29,2.1,0.994428926,10,2.578947368,1.169795304,19
abscess,1.59375,1.042929342,32,1.625,1.187734939,8,1.583333333,1.017954755,24
absence,1.64,0.952190457,25,1.615384615,0.960768923,13,1.666666667,0.984731928,12
abstract,2.411764706,1.281988206,34,1.933333333,1.032795559,15,2.789473684,1.357241785,19
abyss,2.03125,0.966682888,32,1.933333333,0.961150105,15,2.117647059,0.992619825,17
accent,2.352941176,1.252448582,34,2.625,1.408308678,16,2.111111111,1.078609611,18
access,1.970588235,0.904041234,34,1.8125,0.910585892,16,2.111111111,0.90025414,18
acclaim,1.666666667,0.924211376,33,1.785714286,0.974961256,14,1.578947368,0.901590537,19
account,2.052631579,0.928450276,38,2.047619048,0.973457265,21,2.058823529,0.899346168,17
ace,2.6,1.191926867,30,2.833333333,1.585922922,12,2.444444444,0.855585264,18
ache,1.973684211,0.999644318,38,2.384615385,1.120897077,13,1.76,0.879393731,25
acid,1.928571429,0.939998874,28,2.071428571,0.997248963,14,1.785714286,0.892582375,14
acne,2.4,1.286291357,45,2.25,1.390443574,16,2.482758621,1.242712749,29
act,2.322580645,1.045214389,31,2.454545455,1.12815215,11,2.25,1.019545823,20
active,2.074074074,1.174273128,27,2.1,1.286683938,10,2.058823529,1.144038255,17
actor,2.434782609,0.945135246,23,2.555555556,1.013793755,9,2.357142857,0.928782732,14
ad,1.92,0.953939201,25,1.75,0.965307299,12,2.076923077,0.954073587,13
adage,2.266666667,1.112106834,30,2.25,1.035098339,8,2.272727273,1.162174406,22
adder,2.125,1.115600832,24,2.181818182,1.328019715,11,2.076923077,0.954073587,13
addict,1.705882353,1.087934149,34,1.636363636,1.026910636,11,1.739130435,1.136877354,23
address,1.6,0.855005545,30,1.777777778,0.971825316,9,1.523809524,0.813575296,21
adept,2.111111111,1.086041979,27,2.076923077,1.255755978,13,2.142857143,0.949262293,14
ado,2.739130435,1.214210979,23,2.833333333,1.602081979,6,2.705882353,1.104802351,17
adult,2.631578947,1.100885458,38,2.785714286,1.368804724,14,2.541666667,0.931532943,24
advance,1.8125,0.931093703,32,1.571428571,0.851630627,14,2,0.9701425,18
advice,2.6,1.194002105,40,2.277777778,1.363626461,18,2.857142857,1.014185106,21
aerial,2.5,1.273558487,42,2.555555556,1.381483526,18,2.458333333,1.215092291,24
affair,2.151515152,1.064225426,33,2,1.095445115,11,2.227272727,1.066003582,22
affront,1.966666667,1.033351872,30,2.25,1.055289706,12,1.777777778,1.003262651,18
aid,2.054054054,0.970279053,37,1.866666667,0.990430402,15,2.238095238,0.94365046,21
aide,2.24137931,1.184880115,29,2.333333333,1.290994449,15,2.142857143,1.099450412,14
ailment,1.710526316,0.89768154,38,1.777777778,0.878203752,18,1.65,0.933302004,20
air,2.088235294,1.083419029,34,2.117647059,1.11143786,17,2.058823529,1.088036548,17
airfield,2.3125,1.203154456,32,2,0.866025404,9,2.434782609,1.308228746,23
airline,2.103448276,0.939027901,29,2.090909091,0.943879807,11,2.111111111,0.963381843,18
airplane,2.057142857,1.136114564,35,2,1.224744871,13,2.090909091,1.108799905,22
airport,2.233333333,1.13512367,30,2.428571429,1.342459609,14,2.0625,0.928708781,16
airship,2.545454545,1.201325026,33,2.307692308,1.250640861,13,2.7,1.174285897,20
airspeed,2.5,1.179535649,24,2.571428571,1.812653934,7,2.470588235,0.874474632,17
airstrip,2.342105263,1.121685888,38,2.071428571,1.328057327,14,2.565217391,0.945135246,23
airway,2.208333333,1.178767472,24,2.333333333,1.370688834,12,2.083333333,0.99620492,12
aisle,2.444444444,0.974021534,27,2.833333333,1.329160136,6,2.333333333,0.856348839,21
alarm,1.827586207,0.848063572,29,1.75,0.46291005,8,1.857142857,0.963624112,21
album,2.257142857,1.010033696,35,2.307692308,1.315587029,13,2.227272727,0.812510406,22
alcove,2.027027027,1.040472288,37,1.882352941,1.11143786,17,2.15,0.988086934,20
alert,2.324324324,1.313478293,37,2.75,1.356801051,12,2.12,1.268857754,25
alias,2.028571429,1.042782316,35,2.058823529,1.028991511,17,2,1.084652289,18
alien,2.46875,1.343667946,32,2.153846154,1.28102523,13,2.684210526,1.376494403,19
alley,2.148148148,1.026708846,27,2.222222222,0.971825316,9,2.117647059,1.11143786,17
allure,2.571428571,1.118973119,35,2.416666667,1.378954369,12,2.652173913,0.98205238,23
ally,2,0.963624112,29,2.230769231,0.926808696,13,1.8125,0.981070844,16
almond,2.416666667,1.138903617,24,2.076923077,1.11516355,13,2.818181818,1.07871978,11
alpha,2.35483871,1.170424057,31,2.2,1.424279266,15,2.5,0.894427191,16
altar,2.108695652,1.100065874,46,2.076923077,1.230384555,26,2.15,0.933302004,20
amber,2.121212121,0.960389757,33,2.25,1,16,2,0.935414347,17
ambience,2.6,1.162636718,30,2.384615385,1.32529629,13,2.764705882,1.032558217,17
ambush,2.058823529,0.919195184,34,1.928571429,0.997248963,14,2.15,0.87509398,20
amends,1.9,1.020835571,20,1.857142857,1.214985793,7,1.923076923,0.954073587,13
amp,2.333333333,1.330124344,27,2.166666667,1.267304465,12,2.466666667,1.407463101,15
anchor,2.304347826,1.258959982,23,2.111111111,1.452966315,9,2.428571429,1.157868447,14
ancient,2.161290323,1.098385913,31,2,1.095445115,6,2.2,1.118033989,25
angel,2.085714286,1.314431852,35,2.727272727,1.678744119,11,1.791666667,1.020620726,24
anger,1.5,0.948683298,26,1.75,1.215431087,12,1.285714286,0.611249846,14
angle,2.142857143,0.87926631,35,1.909090909,0.831209415,11,2.25,0.896854406,24
angst,2.075,1.047279749,40,1.944444444,1.055641551,18,2.181818182,1.052722712,22
ankle,1.958333333,1.041702898,24,1.928571429,1.071611706,14,2,1.054092553,10
anklet,2.714285714,1.049061057,28,2.3,1.159501809,10,2.944444444,0.937595311,18
annals,2.764705882,1.304045536,34,2.95,1.145931017,20,2.5,1.506396618,14
annual,2.148148148,1.261979632,27,2.545454545,1.213559752,11,1.875,1.258305739,16
answer,2.175,1.009887021,40,2.294117647,1.046703509,17,2.136363636,0.990211836,22
ant,2.275,1.131993929,40,2.133333333,1.187233679,15,2.36,1.113552873,25
anthem,2.2,0.867721831,35,2.35,0.812727701,20,2,0.9258201,15
anthill,2.388888889,1.177837674,36,2.411764706,1.175735064,17,2.368421053,1.211542924,19
anthrax,1.764705882,1.074746581,34,2.333333333,1.302677895,12,1.454545455,0.800432783,22
antics,3.464285714,1.346659595,28,3.714285714,1.266647388,14,3.214285714,1.42389344,14
antique,2.066666667,1.112106834,30,2,1.054092553,10,2.1,1.165287405,20
antiques,2.37037037,1.181529262,27,2.615384615,1.386750491,13,2.142857143,0.949262293,14
anus,3.514285714,1.560004309,35,3.705882353,1.531531337,17,3.333333333,1.608799333,18
anvil,2.538461538,1.272187698,26,3,1.527525232,7,2.368421053,1.164785451,19
apache,2.526315789,1.267831562,38,2.578947368,1.169795304,19,2.473684211,1.389181256,19
ape,2.714285714,1.436486012,28,2.181818182,1.401298099,11,3.058823529,1.390619836,17
apex,2.620689655,1.115276811,29,2.5,1.167748416,12,2.705882353,1.104802351,17
appeal,2.243243243,1.188028371,37,2.0625,1.340087062,16,2.35,1.089422831,20
applause,2.5,1.232281834,28,2.555555556,1.333333333,9,2.473684211,1.218761715,19
apple,2.333333333,1.184187,30,2.363636364,1.206045378,11,2.315789474,1.204280863,19
approach,2.029411765,1.086704613,34,2.076923077,1.255755978,13,2,1,19
apron,2.257142857,1.093909802,35,2.25,1.215431087,12,2.260869565,1.053884214,23
arcade,2.771428571,1.238730714,35,2.5,1.366260102,16,3,1.105541597,19
arch,2.026315789,1.102499423,38,1.857142857,1.231455852,14,2.125,1.034723235,24
archduke,2.829268293,1.181152806,41,2.833333333,1.337115847,12,2.827586207,1.136063552,29
arctic,1.909090909,1.071320341,33,1.533333333,0.743223353,15,2.222222222,1.215369978,18
ark,2.666666667,0.957427108,33,2.75,0.965307299,12,2.619047619,0.973457265,21
arm,1.904761905,1.04425868,21,1.857142857,1.099450412,14,2,1,7
armchair,2.242424242,1.275497526,33,2.333333333,1.345185418,15,2.166666667,1.248528546,18
army,1.96969697,1.074850236,33,2.076923077,1.255755978,13,1.9,0.967906042,20
array,2.315789474,1.093105251,38,2.2,1.014185106,15,2.391304348,1.157549545,23
arrest,1.727272727,1.153059172,33,2.0625,1.481834449,16,1.411764706,0.618346942,17
arrow,2.12,1.092397974,25,2,1.279204298,12,2.230769231,0.926808696,13
arsenic,1.551020408,0.980247088,49,1.307692308,0.788377106,26,1.826086957,1.114049693,23
arson,1.775,1.120611097,40,2.1,1.372665482,20,1.45,0.686332741,20
art,2.290322581,1.188656059,31,2.071428571,1.268814451,14,2.466666667,1.060098827,15
artist,2.486486486,1.216132797,37,2.785714286,1.4769288,14,2.304347826,1.019571327,23
artiste,2.675,1.22762017,40,2.571428571,1.398586414,14,2.730769231,1.150919365,26
ashtray,2.093023256,1.230833119,43,1.894736842,0.994134847,19,2.25,1.390964632,24
aspect,2.333333333,1.239448218,24,2.5,1.167748416,12,2.166666667,1.337115847,12
asphalt,2.176470588,1.217811953,34,2.19047619,1.289148852,21,2.153846154,1.14354375,13
aspirin,2.166666667,1.053183461,30,2,0.852802865,12,2.277777778,1.178511302,18
ass,3.916666667,1.212853863,24,4.375,0.916125381,8,3.6875,1.302241657,16
assault,1.694444444,1.037013416,36,1.846153846,1.344504484,13,1.608695652,0.838783233,23
asset,2.24,1.2,25,1.818181818,1.250454463,11,2.571428571,1.089409559,14
asthma,1.548387097,0.925156191,31,1.2,0.632455532,10,1.714285714,1.007117528,21
athlete,1.909090909,1.064987856,22,2.111111111,1.166666667,9,1.769230769,1.012739367,13
atlas,2.333333333,1.270977819,27,2.461538462,1.265924209,13,2.214285714,1.311403912,14
atoll,2.321428571,1.306779231,28,2.5,1.294785924,18,2,1.333333333,10
atom,1.942857143,0.998317913,35,2.055555556,1.055641551,18,1.823529412,0.95100566,17
attack,1.666666667,0.879049073,45,1.7,0.97872097,20,1.64,0.810349719,25
attempt,2.25,1.08012345,40,2.142857143,0.949262293,14,2.24,1.128420725,25
attic,2.25,1.077631812,32,2.111111111,1.054092553,9,2.304347826,1.105144277,23
auction,2.269230769,1.002305036,26,2.25,1,16,2.3,1.059349905,10
audience,2.257142857,0.918530064,35,2.111111111,0.90025414,18,2.411764706,0.939336437,17
audit,1.911764706,0.99598123,34,1.8,1.135292424,10,1.958333333,0.954584666,24
aunt,2.290322581,1.131180751,31,1.9,0.875595036,10,2.476190476,1.209092537,21
auntie,2.882352941,1.14850907,34,2.909090909,0.831209415,11,2.869565217,1.289973496,23
aura,2.481481481,1.155933535,27,2.333333333,1.154700538,12,2.6,1.183215957,15
author,1.666666667,0.877058019,27,1.583333333,0.900336637,12,1.733333333,0.883715102,15
auto,1.8125,0.965117409,32,2,1,17,1.6,0.91025899,15
award,2.393939394,1.197377184,33,2.5,1.509230856,10,2.347826087,1.070628348,23
awe,2.333333333,1.264911064,36,2.416666667,1.240112409,12,2.291666667,1.301476308,24
awning,2.135135135,1.134366249,37,2,1.037749043,14,2.217391304,1.204405615,23
axe,2.358974359,1.245775588,39,2.153846154,1.463224399,13,2.52,1.122497216,25
axle,2.4,1.032795559,40,2.545454545,1.05682691,22,2.222222222,1.003262651,18
babble,3.161290323,1.319009077,31,3.117647059,1.452685141,17,3.214285714,1.188313053,14
babe,3,1.180652105,34,2.882352941,1.268973647,17,3.117647059,1.11143786,17
baboon,3.707317073,1.07805154,41,3.833333333,1.193416283,12,3.655172414,1.044573121,29
baby,2.555555556,1.132492685,36,2.214285714,1.050902281,14,2.772727273,1.151885336,22
back,2,1.095445115,31,2.2,1.207121724,15,1.8125,0.981070844,16
backbone,2.677419355,0.908738935,31,2.909090909,0.831209415,11,2.55,0.944513241,20
backdoor,3.078947368,1.281502053,38,3.111111111,1.450715397,18,3.05,1.145931017,20
backdrop,2.166666667,0.985527457,30,2.466666667,0.990430402,15,1.866666667,0.915475416,15
backer,2.137931034,1.156476729,29,2.833333333,1.193416283,12,1.647058824,0.861769725,17
background,1.882352941,1.06642154,34,2,1.105541597,19,1.785714286,1.050902281,14
backhand,2.518518519,1.220667231,27,1.875,1.246423455,8,2.789473684,1.134261746,19
backroom,2.259259259,1.288785731,27,2.454545455,1.507556723,11,2.125,1.147460965,16
backseat,2.272727273,0.977008421,33,2.2,1.135292424,10,2.304347826,0.926124997,23
backside,2.882352941,1.20011883,34,3.111111111,1.054092553,9,2.875,1.226961606,24
backup,2.310344828,1.227757778,29,2.111111111,1.166666667,9,2.368421053,1.300022492,19
backyard,1.78125,1.099394995,32,1.692307692,1.250640861,13,1.842105263,1.014514547,19
bad,1.771428571,1.059570232,35,1.7,1.251665557,10,1.8,1,25
badge,2.28125,1.084624954,32,1.888888889,1.166666667,9,2.5,1.011834731,22
badness,2,1.142080481,24,2.222222222,0.833333333,9,1.866666667,1.302013093,15
bag,2.636363636,1.112940413,33,2.75,1.290994449,16,2.529411765,0.943242218,17
baggage,2.2,1.08012345,25,2.4,1.0749677,10,2.066666667,1.099783528,15
bail,2.25,1.171236471,40,2.416666667,1.311372171,12,2.178571429,1.123933945,28
bailiff,2.346153846,1.294366492,26,2.833333333,1.267304465,12,1.928571429,1.206666464,14
balance,2.064516129,1.152836614,31,2.230769231,1.3634421,13,1.944444444,0.998364676,18
bale,2.277777778,1.161553421,36,2,1.12815215,12,2.416666667,1.176459932,24
ball,2.675,1.22762017,40,3,1.211060142,16,2.458333333,1.215092291,24
ballad,2.185185185,1.177906782,27,2.363636364,1.361816968,11,2.0625,1.062622542,16
ballast,2.421052632,1.216360211,19,2.545454545,1.293339581,11,2.25,1.164964745,8
ballet,2.4,1.005865153,35,2.076923077,0.954073587,13,2.590909091,1.007547277,22
balloon,2.75,1.326977605,24,2.444444444,1.236033081,9,2.933333333,1.387014608,15
ballot,2.4,1.11671788,35,2.8125,0.981070844,16,2.052631579,1.129094239,19
ballpoint,2.4,1.287953233,35,2.5,1.566698904,12,2.347826087,1.152416262,23
balm,2.5,1.179535649,24,2.555555556,1.424000624,9,2.466666667,1.060098827,15
bamboo,2.666666667,1.279204298,45,3,1.414213562,13,2.53125,1.217728584,32
ban,2.171428571,1.175377644,35,2.2,1.473576795,15,2.15,0.933302004,20
band,2.194444444,1.064208477,36,2.222222222,1.114374293,18,2.166666667,1.043185168,18
bandage,2.090909091,0.97991187,33,1.769230769,0.832050294,13,2.3,1.031095483,20
bandit,2.325,1.268706185,40,2.692307692,1.250640861,13,2.148148148,1.261979632,27
bandstand,2.470588235,1.211942946,34,2.375,1.147460965,16,2.555555556,1.293523334,18
bang,2.84375,1.370410228,32,3.076923077,1.255755978,13,2.684210526,1.454977342,19
banger,3.32,1.281925635,25,4.111111111,0.78173596,9,2.875,1.310216267,16
banjo,2.80952381,1.364516311,21,2.555555556,1.509230856,9,3,1.279204298,12
bank,2.206896552,1.081642611,29,2.5,1.160238702,14,1.933333333,0.961150105,15
banker,2.027777778,1.18288053,36,2.076923077,1.255755978,13,2,1.195228609,22
banking,1.925,1.095152489,40,1.722222222,1.017815166,18,2.090909091,1.150945405,22
bankroll,2.382352941,1.101368457,34,2.777777778,0.833333333,9,2.25,1.188715053,24
bankrupt,1.703703704,0.992851946,27,2,1.154700538,10,1.529411765,0.874474632,17
banquet,2.333333333,1.124441113,30,2.75,1.281739889,8,2.181818182,1.052722712,22
banshee,3.095238095,1.261140829,21,2.727272727,1.420627262,11,3.5,0.971825316,10
banter,3.36,1.036018018,25,3,0.9258201,8,3.529411765,1.067570083,17
bar,2.37037037,1.114524671,27,2.727272727,1.420627262,11,2.125,0.806225775,16
bard,2.4375,1.412787225,32,2.785714286,1.577659973,14,2.166666667,1.248528546,18
bargain,2.138888889,0.990029661,36,2,1,11,2.2,1,25
barge,2.617647059,1.303019939,34,2.647058824,1.271867548,17,2.588235294,1.371988681,17
barium,2.151515152,1.325735931,33,2.235294118,1.347655917,17,2.0625,1.340087062,16
bark,2.676470588,1.120621803,34,2.666666667,1.154700538,12,2.681818182,1.129111055,22
barley,1.970588235,1.086704613,34,2,1.154700538,19,1.933333333,1.032795559,15
barmaid,2.923076923,1.293772064,26,2.909090909,1.640399065,11,2.933333333,1.032795559,15
barman,2.666666667,1.338531534,33,2.761904762,1.48002574,21,2.5,1.087114613,12
barnyard,2.484848485,1.301950751,33,2.538461538,1.330124344,13,2.45,1.316894273,20
barrage,2.378378378,1.186763839,37,2.571428571,1.398586414,14,2.260869565,1.053884214,23
